"site_name","site_code","asset_number","asset_id","easting","northing","ev_charger","lamp_type","next_electrical_test_date","structural_test_classification","next_structural_test_year"
"Crebor Street",22500641,3946.03,"2605L07",534485.5,174239.21,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Credon Road",22500643,3953.00,"2324L04",534908.56,178249.32,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Credon Road",22500643,3956.00,"2324L07",534908.8,178168.72,"Not Applicable","LED","2028/2029","Green","2025/2026"
"Crescent Wood Road",22500645,3959.00,"2570L01",534059.14,172135.69,"Not Applicable","LED","Not Applicable","Green","2025/2026"
"Crescent Wood Road",22500645,3973.00,"2570L11",534191,172310.14,"Not Applicable","LED","Not Applicable","Green","2025/2026"
"Crescent Wood Road",22500645,3974.04,"2570L15",534287.86,172290.15,"Not Applicable","LED","Not Applicable","Green","2025/2026"
"Crimscott Street",22500649,3989.00,"47L03",533415.8,179047.3,"Not Applicable","LED","2029/2030",4,"2029/2030"
"Crofton Road",22500652,4004.00,"2148L24",533541.14,176282.81,"Not Applicable","LED","2027/2028","Low Amber","2024/2025"
"Crofton Road",22500652,4008.00,"2148L28",533594.74,176305.11,"Not Applicable","LED","2027/2028","Green","2024/2025"
"Crofton Road",22500652,4010.00,"2148L02",533431.36,176689.26,"Not Applicable","LED","2027/2028","Low Amber","2024/2025"
"Crouchmans Close",22500660,686.00,"2873L01",534010.95,172046.44,"Not Applicable","Cosmo","2025/2026","Green","2025/2026"
"Crown Street",22500661,4066.00,"2003L06",532327.86,177369.18,"Not Applicable","LED","2028/2029","New Item (Test After 15yrs)","2038/2039"
"Croxted Road",22500662,4066.00,"2544L02",532820.88,172555.46,"Not Applicable","LED","2029/2030",3,"2026/2027"
"Croxted Road",22500662,100001.00,"2544L02A",532841,172538,"Not Applicable","LED","2029/2030",3,"2026/2027"
"Crystal Palace Road",22500676,4166.00,"2598L12",534105.21,175022.24,"Not Applicable","LED","Not Applicable","New Item (Test After 15yrs)","2039/2040"
"Crystal Palace Road",22500676,4168.00,"2598L14",534107.63,174964.68,"Not Applicable","LED","Not Applicable","New Item (Test After 15yrs)","2039/2040"
"Culmore Road",22500684,4177.00," 2428L04",535007.33,177177.69,"Not Applicable","LED","2028/2029","Green","2026/2027"
